product_id,product_name,category,brand,price,cost_price,discount_pct,rating,num_reviews,stock_quantity,reorder_point,weight_kg,sku,launch_date,is_active,is_featured,warranty_period,supplier_id,tags
1,USB-C Hub 7-in-1,Electronics,Samsung,738.45,331.44,4.6,4.0,4467,1424,312,10.58,SKU-BHSAHXTH,2023-07-05,No,Yes,1 year,SUP-6574,eco|trending
2,Tablet 10inch,Electronics,JBL,2767.27,1183.23,13.2,3.5,7253,5925,305,4.85,SKU-CX1945NQ,2024-07-19,yes,No,1 year,SUP-2169,organic|bestseller
3,Noise Cancelling Headphones,Electronics,Samsung,101.14,51.62,12.0,1.8,7724,9292,458,17.96,SKU-HR5XFF0T,2024-03-06,YES,No,1 year,SUP-3266,sale
4,Portable Projector,Electronics,Xiaomi,1406.81,686.52,24.9,,5572,1876,359,22.13,SKU-11MKFAZZ,2023-02-17,Yes,No,1 Year,SUP-9317,eco|new
5,Wireless Earbuds Pro,Electronics,Apple,2636.77,1822.23,13.8,1.2,7192,9295,494,2.01,SKU-039TEX8F,2023-03-31,YES,No,1 Year,SUP-4295,eco|clearance|organic|sale
6,Wireless Earbuds Pro,Electronics,Apple,181.33,76.81,1.4,2.3,4211,3899,152,16.74,SKU-HE7UR23G,2021-05-31,YES,Yes,No warranty,SUP-1887,sale
7,Tablet 10inch,Electronics,Sony,839.24,409.07,41.5,2.8,7056,9016,60,1.31,SKU-94874FRH,2022-09-15,Yes,No,No warranty,SUP-8454,new|bestseller|premium|trending
8,Digital Photo Frame,Electronics,Bose,2558.9,1164.56,43.2,1.3,1522,1122,314,1.75,SKU-5O7UUBCX,2023-05-29,yes,Yes,6 Months,SUP-5351,
9,Robot Vacuum Cleaner,Electronics,Philips,1050.28,445.4,11.0,2.1,3589,8900,370,7.6,SKU-93TYT7D5,2022-02-15,Yes,Yes,1 year,SUP-4450,premium|organic
10,Power Bank 20000mAh,ELECTRONICS,Samsung,2314.5,1441.91,11.8,4.0,4519,7007,297,0.29,SKU-C56T4UFE,2022-04-24,yes,Yes,1 year,SUP-2684,wireless|new|bestseller|limited
11,Noise Cancelling Headphones,Electronics,Xiaomi,2592.87,1772.91,12.0,4.1,885,6267,456,1.02,SKU-QH7M35IX,2022-09-11,yes,Yes,1 Year,SUP-9346,sale|trending|premium
12,Noise Cancelling Headphones,Electronics,Xiaomi,1536.71,821.86,25.9,2.0,5806,7144,10,13.02,SKU-3Y70HP87,2023-08-27,yes,Yes,2 years,SUP-7691,organic|new|bestseller
13,LED Monitor 27inch,Electronics,Xiaomi,6.22,3.11,19.3,3.3,5363,5279,248,11.07,SKU-YS280XKX,2023-08-20,yes,Yes,1 Year,SUP-6085,
14,Digital Photo Frame,Electronics,LG,1155.02,623.57,6.6,3.8,7312,1746,408,10.66,SKU-G8SBI4Q2,2023-11-04,yes,Yes,6 Months,SUP-7991,new|clearance|organic|wireless
15,Webcam 4K HD,Electronics,Philips,2142.07,1032.63,15.1,4.6,660,2267,87,5.82,SKU-YZCOTOHP,2024-11-06,Yes,No,6 months,SUP-5892,organic|wireless|bestseller|clearance
16,Portable Projector,Electronics,Sony,2759.03,2050.66,24.0,,4848,9246,349,0.73,SKU-XEQBNHL1,2022-08-12,No,Yes,6 months,,bestseller|trending|sale
17,Laptop Stand Adjustable,Electronics,Bose,1694.09,806.87,31.5,4.1,1374,9926,320,24.1,SKU-Z2FLU7U6,2022-08-07,YES,No,6 Months,SUP-4978,wireless|trending|sale
18,Action Camera 4K,Electronics,Bose,2882.56,1794.26,37.3,3.8,3567,2885,385,13.07,SKU-XW71Q3VL,2022-01-17,Yes,Yes,1 year,SUP-7209,eco|new|clearance|trending
19,Air Purifier HEPA,Electronics,Samsung,577.21,279.64,18.3,3.2,1968,7800,340,17.81,SKU-QAKOIXNT,2022-06-19,YES,No,6 Months,SUP-6023,bestseller
20,Smart Bulb WiFi,Electronics,Philips,2929.94,1709.98,12.7,1.4,1590,4853,126,9.05,SKU-KZEBBK7W,2024-03-15,no,Yes,Lifetime,SUP-8843,sale|premium
21,Smart Watch Series 5,Electronics,Sony,1690.7,856.07,44.7,1.5,6262,6818,320,14.92,SKU-W1N6KVPU,2021-04-04,Yes,No,2 years,SUP-3573,
22,LED Monitor 27inch,Electronics,Bose,704.1,346.84,35.6,3.4,6585,3241,227,2.91,SKU-IFJFC2V3,2024-12-02,No,Yes,6 Months,SUP-7594,clearance|trending|sale|bestseller
23,Digital Photo Frame,Electronics,Logitech,2998.72,1905.08,12.1,1.2,6195,2870,250,13.0,SKU-PK9P38QO,2022-05-14,Yes,No,6 Months,SUP-7561,clearance
24,Wireless Earbuds Pro,Electronics,JBL,167.34,97.3,28.0,3.0,3621,845,114,6.71,SKU-EK5RBW2Z,2022-04-28,Yes,No,1 year,SUP-2858,new
